au_lname;au_fname;phone;adress;city;state;zip;contarct
Martino;Rosa;310548923;13th Street;New york;MH;5656;nn
Bill ;Gates;310548924;13th Street;New york;MH;5657;nn
Bill ;Gates;310548925;13th Street;New york;MH;5658;nn
Bill ;Gates;310548926;13th Street;New york;MH;5659;nn
Bill ;Gates;310548927;13th Street;New york;MH;5660;nn
Bill ;Gates;310548928;13th Street;New york;MH;5661;nn
Bill ;Gates;310548929;13th Street;New york;MH;5662;nn
Bill ;Gates;310548930;13th Street;New york;MH;5663;nn
Bill ;Gates;310548931;13th Street;New york;MH;5664;nn
Bill ;Gates;310548932;13th Street;New york;MH;5665;nn
Bill ;Gates;310548933;13th Street;New york;MH;5666;nn
Elon ;Musk;3205489322;44 W 4th St, New York, NY 10012, USA;New york;QS;5863;nn 
Elon ;Musk;3205489323;45 W 4th St, New York, NY 10012, USA;New york;QS;5864;nn 
Elon ;Musk;3205489324;46 W 4th St, New York, NY 10012, USA;New york;QS;5865;nn 
Elon ;Musk;3205489325;47 W 4th St, New York, NY 10012, USA;New york;QS;5866;nn 
Elon ;Musk;3205489326;48 W 4th St, New York, NY 10012, USA;New york;QS;5867;nn 
Elon ;Musk;3205489327;49 W 4th St, New York, NY 10012, USA;New york;QS;5868;nn 
Elon ;Musk;3205489328;50 W 4th St, New York, NY 10012, USA;New york;QS;5869;nn 
Elon ;Musk;3205489329;51 W 4th St, New York, NY 10012, USA;New york;QS;5870;nn 
Elon ;Musk;3205489330;52 W 4th St, New York, NY 10012, USA;New york;QS;5871;nn 
Elon ;Musk;3205489331;53 W 4th St, New York, NY 10012, USA;New york;QS;5872;nn 
Elon ;Musk;3205489332;54 W 4th St, New York, NY 10012, USA;New york;QS;5873;nn 
Elon ;Musk;3205489333;55 W 4th St, New York, NY 10012, USA;New york;QS;5874;nn 
Elon ;Musk;3205489334;56 W 4th St, New York, NY 10012, USA;New york;QS;5875;nn 
Elon ;Musk;3205489335;57 W 4th St, New York, NY 10012, USA;New york;QS;5876;nn 
Elon ;Musk;3205489336;58 W 4th St, New York, NY 10012, USA;New york;QS;5877;nn 
Elon ;Musk;3205489337;59 W 4th St, New York, NY 10012, USA;New york;QS;5878;nn 
Elon ;Musk;3205489338;60 W 4th St, New York, NY 10012, USA;New york;QS;5879;nn 
Elon ;Musk;3205489339;61 W 4th St, New York, NY 10012, USA;New york;QS;5880;nn 
Elon ;Musk;3205489340;62 W 4th St, New York, NY 10012, USA;New york;QS;5881;nn 
Elon ;Musk;3205489341;63 W 4th St, New York, NY 10012, USA;New york;QS;5882;nn 
Elon ;Musk;3205489342;64 W 4th St, New York, NY 10012, USA;New york;QS;5883;nn 
Elon ;Musk;3205489343;65 W 4th St, New York, NY 10012, USA;New york;QS;5884;nn 
Elon ;Musk;3205489344;66 W 4th St, New York, NY 10012, USA;New york;QS;5885;nn 
Marck;Zuckerberg;55535353;Stuyvesant 14th St & 1st Ave ;New york;BX;55654126;nn
Marck;Zuckerberg;55535354;Stuyvesant 14th St & 1st Ave ;New york;BX;55654127;nn
Marck;Zuckerberg;55535355;Stuyvesant 14th St & 1st Ave ;New york;BX;55654128;nn
Marck;Zuckerberg;55535356;Stuyvesant 14th St & 1st Ave ;New york;BX;55654129;nn
Marck;Zuckerberg;55535357;Stuyvesant 14th St & 1st Ave ;New york;BX;55654130;nn
Marck;Zuckerberg;55535358;Stuyvesant 14th St & 1st Ave ;New york;BX;55654131;nn
Marck;Zuckerberg;55535359;Stuyvesant 14th St & 1st Ave ;New york;BX;55654132;nn
Marck;Zuckerberg;55535360;Stuyvesant 14th St & 1st Ave ;New york;BX;55654133;nn
Marck;Zuckerberg;55535361;Stuyvesant 14th St & 1st Ave ;New york;BX;55654134;nn
Marck;Zuckerberg;55535362;Stuyvesant 14th St & 1st Ave ;New york;BX;55654135;nn
Marck;Zuckerberg;55535363;Stuyvesant 14th St & 1st Ave ;New york;BX;55654136;nn
Marck;Zuckerberg;55535364;Stuyvesant 14th St & 1st Ave ;New york;BX;55654137;nn
Marck;Zuckerberg;55535365;Stuyvesant 14th St & 1st Ave ;New york;BX;55654138;nn
Marck;Zuckerberg;55535366;Stuyvesant 14th St & 1st Ave ;New york;BX;55654139;nn
Marck;Zuckerberg;55535367;Stuyvesant 14th St & 1st Ave ;New york;BX;55654140;nn
Marck;Zuckerberg;55535368;Stuyvesant 14th St & 1st Ave ;New york;BX;55654141;nn
Marck;Zuckerberg;55535369;Stuyvesant 14th St & 1st Ave ;New york;BX;55654142;nn
Marck;Zuckerberg;55535370;Stuyvesant 14th St & 1st Ave ;New york;BX;55654143;nn
Marck;Zuckerberg;55535371;Stuyvesant 14th St & 1st Ave ;New york;BX;55654144;nn
Marck;Zuckerberg;55535372;Stuyvesant 14th St & 1st Ave ;New york;BX;55654145;nn
Marck;Zuckerberg;55535373;Stuyvesant 14th St & 1st Ave ;New york;BX;55654146;nn
Marck;Zuckerberg;55535374;Stuyvesant 14th St & 1st Ave ;New york;BX;55654147;nn
Marck;Zuckerberg;55535375;Stuyvesant 14th St & 1st Ave ;New york;BX;55654148;nn
Marck;Zuckerberg;55535376;Stuyvesant 14th St & 1st Ave ;New york;BX;55654149;nn
Marck;Zuckerberg;55535377;Stuyvesant 14th St & 1st Ave ;New york;BX;55654150;nn
Marck;Zuckerberg;55535378;Stuyvesant 14th St & 1st Ave ;New york;BX;55654151;nn
Marck;Zuckerberg;55535379;Stuyvesant 14th St & 1st Ave ;New york;BX;55654152;nn
Marck;Zuckerberg;55535380;Stuyvesant 14th St & 1st Ave ;New york;BX;55654153;nn
Marck;Zuckerberg;55535381;Stuyvesant 14th St & 1st Ave ;New york;BX;55654154;nn
Marck;Zuckerberg;55535382;Stuyvesant 14th St & 1st Ave ;New york;BX;55654155;nn
Marck;Zuckerberg;55535383;Stuyvesant 14th St & 1st Ave ;New york;BX;55654156;nn
Marck;Zuckerberg;55535384;Stuyvesant 14th St & 1st Ave ;New york;BX;55654157;nn
Marck;Zuckerberg;55535385;Stuyvesant 14th St & 1st Ave ;New york;BX;55654158;nn
Marck;Zuckerberg;55535386;Stuyvesant 14th St & 1st Ave ;New york;BX;55654159;nn
Marck;Zuckerberg;55535387;Stuyvesant 14th St & 1st Ave ;New york;BX;55654160;nn
Marck;Zuckerberg;55535388;Stuyvesant 14th St & 1st Ave ;New york;BX;55654161;nn
Marck;Zuckerberg;55535389;Stuyvesant 14th St & 1st Ave ;New york;BX;55654162;nn
Marck;Zuckerberg;55535390;Stuyvesant 14th St & 1st Ave ;New york;BX;55654163;nn
Marck;Zuckerberg;55535391;Stuyvesant 14th St & 1st Ave ;New york;BX;55654164;nn
Marck;Zuckerberg;55535392;Stuyvesant 14th St & 1st Ave ;New york;BX;55654165;nn
Marck;Zuckerberg;55535393;Stuyvesant 14th St & 1st Ave ;New york;BX;55654166;nn
Marck;Zuckerberg;55535394;Stuyvesant 14th St & 1st Ave ;New york;BX;55654167;nn
Marck;Zuckerberg;55535395;Stuyvesant 14th St & 1st Ave ;New york;BX;55654168;nn
Marck;Zuckerberg;55535396;Stuyvesant 14th St & 1st Ave ;New york;BX;55654169;nn
Marck;Zuckerberg;55535397;Stuyvesant 14th St & 1st Ave ;New york;BX;55654170;nn
